Symbol,Name,Market Cap,Last Sale
ABNB,Airbnb Inc.  ,"73,848,589,575",$115.43
ADBE,Adobe Inc. ,"231,347,036,000",$514.64
ADI,Analog Devices Inc. ,"80,014,271,915",$161.94
ADP,Automatic Data Processing Inc. ,"88,511,259,151",$214.84
ADSK,Autodesk Inc. ,"41,715,972,785",$195.15
AEP,American Electric Power Company Inc. ,"38,602,140,977",$74.93
ALGN,Align Technology Inc. ,"14,613,345,442",$191.12
AMAT,Applied Materials Inc. ,"109,836,894,768",$132.54
AMD,Advanced Micro Devices Inc. ,"155,799,191,173",$97.50
AMGN,Amgen Inc. ,"139,914,101,914",$263.07
ANSS,ANSYS Inc. ,"23,498,683,015",$270.75
ASML,ASML Holding N.V. New York Registry Shares,"232,807,752,490",$595.80
AVGO,Broadcom Inc. ,"346,020,937,133",$853.01
AZN,AstraZeneca PLC American Depositary Shares,"95,867,610,000",$62.35
